fsq_id,name,distance,location.address,station latitude,station longitude,number of bikes,station id,price,rating
4cb88ec6f50e224babb6e7fb,Bayou Bakery,122,1515 N Courthouse Rd,38.890612,-77.084801,5.0,1,2.0,8.7
5e5e5c8f9f640c0007342390,For Five Coffee Roasters,184,2311 Wilson Blvd,38.890612,-77.084801,5.0,1,1.0,8.2
43c77738f964a5207f2d1fe3,Ragtime,174,1345 N Courthouse Rd,38.890612,-77.084801,5.0,1,2.0,8.1
59d8144e7247507dcdfaf4fa,Verre Wine Bar,238,2415 Wilson Blvd,38.890612,-77.084801,5.0,1,2.0,8.2
4b1e95e5f964a5201a1c24e3,Five Guys Burgers & Fries,204,2300 Wilson Blvd,38.890612,-77.084801,5.0,1,1.0,8.0
4bfaae6b8f32ef3b2ff004aa,Fire Works Pizza,230,2350 Clarendon Blvd,38.890612,-77.084801,5.0,1,2.0,8.1
40b13b00f964a5206df41ee3,Galaxy Hut,549,2711 Wilson Blvd,38.890612,-77.084801,5.0,1,2.0,8.6
4a7d89e0f964a520c5ee1fe3,Brooklyn Bagel Bakery,142,2055 Wilson Blvd,38.890612,-77.084801,5.0,1,1.0,7.8
4b12c7d0f964a520048e23e3,Pho 75,649,1721 Wilson Blvd,38.890612,-77.084801,5.0,1,1.0,8.7
6141e4cffa2ebf4ffa105f08,Tatte Bakery & Café,652,2800 Clarendon Blvd,38.890612,-77.084801,5.0,1,1.0,8.7
515dc9e3e4b0d709f2141326,Chuck E. Cheese's,909,1127 University Blvd E,38.986743,-77.000035,9.0,2,,7.4
4bbbd77d3de8c9b6b05b9aad,El Comalito Restaurante,955,1167 University Blvd E,38.986743,-77.000035,9.0,2,2.0,7.4
53584d95498e22a333d7f412,Sardi's Pollo A La Brasa,944,1159 University Blvd E,38.986743,-77.000035,9.0,2,2.0,7.3
5c438278ab42d9002c6ce5d9,Mansa Kunda,266,8000 Flower Ave,38.986743,-77.000035,9.0,2,2.0,
4e4ddf9ebd4101d0d79d412f,Subway,945,1161 University Blvd E,38.986743,-77.000035,9.0,2,1.0,6.1
50f49b9ce4b0be12e22cf65e,Little Caesars Pizza,928,1137A University Blvd E,38.986743,-77.000035,9.0,2,1.0,5.9
77ca2013b44f4721a3eee82b,Pupuseria El Comalito,956,1167 University Blvd E,38.986743,-77.000035,9.0,2,,
57f54f01498efb4067677e58,Commonwealth Joe Coffee Roasters,569,520 12th St S,38.865553,-77.05003,7.0,3,1.0,9.2
