name,review_count,rating,distance,price,location.address1,station latitude,station longitude,number of bikes,station id
Mejana,814,8.0,210.57419734291352,2.0,2300 Wilson Blvd,38.890612,-77.084801,5.0,1
Seamore's - Arlington,155,9.0,670.7353272541926,,2815 Clarendon Blvd,38.890612,-77.084801,5.0,1
Tupelo Honey Southern Kitchen & Bar,2392,8.0,308.05350854011704,2.0,1616 N Troy St,38.890612,-77.084801,5.0,1
Courthaus Social,481,8.0,199.4250353330203,2.0,2300 Clarendon Blvd,38.890612,-77.084801,5.0,1
Ambar,1879,9.0,784.9736537020015,3.0,2901 Wilson Blvd,38.890612,-77.084801,5.0,1
Green Pig Bistro,1109,8.0,845.4538266928838,2.0,1025 N Fillmore St,38.890612,-77.084801,5.0,1
Brass Rabbit Pub,96,9.0,885.4332557827812,2.0,1210 N Garfield St,38.890612,-77.084801,5.0,1
Guerra Steakhouse,89,9.0,640.6712571053315,,1725 Wilson Blvd,38.890612,-77.084801,5.0,1
Fire Works Pizza,865,8.0,231.04662027508263,2.0,2350 Clarendon Blvd,38.890612,-77.084801,5.0,1
Burger District Gourmet Burgers and Bar,278,8.0,229.32066602245516,2.0,2024 Wilson Blvd,38.890612,-77.084801,5.0,1
Three Whistles,86,9.0,567.1484863172517,1.0,2719 Wilson Blvd,38.890612,-77.084801,5.0,1
Buena Vida,434,8.0,777.8530833894142,2.0,2900 Wilson Blvd,38.890612,-77.084801,5.0,1
Takeshi Sushi,138,9.0,295.37622541044686,2.0,2424 Wilson Blvd,38.890612,-77.084801,5.0,1
Verre Wine Bar,165,9.0,249.3802192463039,2.0,2415 Wilson Blvd,38.890612,-77.084801,5.0,1
TNR Cafe,779,8.0,162.61442342742984,2.0,2049 Wilson Blvd,38.890612,-77.084801,5.0,1
"Bayou Bakery, Coffee Bar & Eatery",971,7.0,109.40367538514471,2.0,1515 N Courthouse Rd,38.890612,-77.084801,5.0,1
Toryumon Japanese House,192,9.0,729.2501772972932,2.0,1650 Wilson Blvd,38.890612,-77.084801,5.0,1
Ragtime,340,7.0,181.0842810087322,2.0,1345 N Court House Rd,38.890612,-77.084801,5.0,1
Asahi Japanese Restaurant,274,8.0,198.54891372856062,2.0,2250 Clarendon Blvd,38.890612,-77.084801,5.0,1
Courthouse Kabob,124,9.0,167.34080862570127,2.0,2045 Wilson Blvd,38.890612,-77.084801,5.0,1
Mansa Kunda Restaurant,167,9.0,266.1534623592252,2.0,8000 Flower Ave,38.986743,-77.000035,9.0,2
Seoul Food DC,488,9.0,1085.7838543467592,2.0,7302 Carroll Ave,38.986743,-77.000035,9.0,2
SOKO Butcher Shop & Market,52,9.0,1073.7497258775845,2.0,7306 Carroll Ave,38.986743,-77.000035,9.0,2
La Casita Pupuseria & Market,397,8.0,1107.3984780138796,1.0,8214 Piney Branch,38.986743,-77.000035,9.0,2
Spring Mill Bread,67,8.0,1090.4745745893279,1.0,7300 Carroll Ave,38.986743,-77.000035,9.0,2
Taqueria El Rodeo,2,9.0,1118.1552599319662,,8008 New Hampshire Ave,38.986743,-77.000035,9.0,2
Peter's Sub Shop,55,8.0,763.5473965972151,1.0,7603 Maple Ave,38.986743,-77.000035,9.0,2
