latitude,longitude,number of bikes,station id
38.890612,-77.084801,0.0,1.0
38.986743,-77.000035,7.0,2.0
38.865553,-77.05003,8.0,3.0
38.820064,-77.057619,7.0,4.0
38.833077,-77.059821,11.0,5.0
39.114688,-77.171487,9.0,6.0
39.110314,-77.182669,1.0,7.0
38.999388,-77.031555,8.0,8.0
38.997033,-77.025608,9.0,9.0
39.102212,-77.177091,8.0,10.0
39.076331,-77.141378,7.0,11.0
38.977093,-77.094589,2.0,12.0
38.811456,-77.050276,4.0,13.0
38.805648,-77.05293,13.0,14.0
38.814577,-77.052808,2.0,15.0
38.804718,-77.043363,6.0,16.0
38.805317,-77.049883,15.0,17.0
38.961763,-77.085998,7.0,18.0
39.099376,-77.188014,5.0,19.0
39.083673,-77.149162,5.0,20.0
39.123513,-77.15741,6.0,21.0
38.95548,-76.940133,12.0,22.0
38.936213,-76.960054,8.0,23.0
38.92245,-77.23034,1.0,24.0
38.908391,-76.843263,3.0,25.0
38.969581,-76.937349,3.0,26.0
38.95534,-77.357611,3.0,27.0
38.959633,-77.358741,6.0,28.0
38.951443,-77.340377,4.0,29.0
38.960084,-77.353414,0.0,30.0
38.957037,-77.359718,8.0,31.0
38.960574,-77.356324,11.0,32.0
38.955079,-77.351649,5.0,33.0
38.962524,-77.361902,10.0,34.0
38.932636,-77.231825,7.0,35.0
38.970046,-77.338686,2.0,36.0
38.931911,-77.219261,6.0,37.0
38.928919,-77.225394,1.0,38.0
38.82175,-77.047494,6.0,39.0
38.897612,-77.080851,6.0,40.0
38.801111,-77.068952,5.0,41.0
38.869442,-77.104503,3.0,42.0
38.894941,-77.09169,3.0,43.0
38.892164,-77.079375,0.0,44.0
39.106971,-77.192645,5.0,45.0
39.106152,-77.202354,1.0,46.0
38.82005823354218,-77.06282079219818,8.0,47.0
38.880992,-77.135271,8.0,48.0
38.88532071975074,-77.15642720460892,3.0,49.0
38.898301,-77.118009,3.0,50.0
39.105295,-77.194774,5.0,51.0
38.799267,-77.0447,7.0,52.0
38.995681,-77.038721,4.0,53.0
38.870093,-77.22997,6.0,54.0
38.928502,-77.215624,3.0,55.0
38.885621,-77.166917,5.0,56.0
38.9001,-77.1887,4.0,57.0
38.880705,-77.08596,4.0,58.0
38.867262,-77.072315,11.0,59.0
39.00048,-77.00077,14.0,60.0
39.06219,-77.129235,4.0,61.0
39.062041,-77.120776,0.0,62.0
39.049,-77.10933,1.0,63.0
39.04317,-77.1135,9.0,64.0
39.049765,-77.11368,5.0,65.0
39.0629,-77.113454,1.0,66.0
39.04873,-77.1257,7.0,67.0
39.014716,-77.107143,8.0,68.0
38.923083,-77.227417,6.0,69.0
38.812351,-77.040691,10.0,70.0
38.990874,-77.016311,3.0,71.0
38.876695,-77.112982,5.0,72.0
38.915246,-77.220157,8.0,73.0
38.881044,-77.111768,4.0,74.0
38.89054,-77.08095,0.0,75.0
38.89593,-77.089006,10.0,76.0
38.893237,-77.086063,0.0,77.0
38.803124,-77.040363,18.0,78.0
38.866471,-77.076131,10.0,79.0
38.964992,-77.103381,6.0,80.0
39.119765,-77.166093,7.0,81.0
38.984691,-77.094537,0.0,82.0
38.92755,-77.226644,6.0,83.0
38.944707,-77.335425,5.0,84.0
38.893438,-77.076389,3.0,85.0
